"City", "State","Sum of #  of plans","Population","Per Capita","Latitude","Longitude"
1,"El Paso, Texas",160,679036,4243.975,31.7618778,-106.4850217
2,"Detroit, Michigan",233,680250,2919.527897,42.331427,-83.0457538
3,"Mesa, Arizona",160,464704,2904.4,33.4151843,-111.8314724
4,"Los Angeles, California",1633,3928864,2405.917942,34.0522342,-118.2436849
5,"Arlington, Texas",164,383204,2336.609756,32.735687,-97.1080656
6,"San Antonio, Texas",746,1436697,1925.867292,29.4241219,-98.4936282
7,"Long Beach, California",246,473577,1925.109756,33.7700504,-118.1937395
8,"New York City, New York",4946,8491079,1716.756773,40.7127837,-74.0059413
9,"Jacksonville, Florida",537,853382,1589.165736,30.3321838,-81.655651
10,"Philadelphia, Pennsylvania",995,1560297,1568.137688,39.9525839,-75.1652215
11,"Fort Worth, Texas",527,812238,1541.248577,32.7554883,-97.3307658
12,"Phoenix, Arizona",1009,1537058,1523.347869,33.4483771,-112.0740373
13,"Colorado Springs, Colorado",308,445830,1447.5,38.8338816,-104.8213634
14,"San Jose, California",766,1015785,1326.090078,37.3382082,-121.8863286
15,"Las Vegas, Nevada",464,613599,1322.411638,36.1699412,-115.1398296
16,"Virginia Beach, Virginia",352,450980,1281.193182,36.8529263,-75.977985
17,"Baltimore, Maryland",506,622793,1230.816206,39.2903848,-76.6121893
18,"Tucson, Arizona",438,527972,1205.415525,32.2217429,-110.926479
19,"Chicago, Illinois",2407,2722389,1131.029913,41.8781136,-87.6297982
20,"Oakland, California",373,413775,1109.316354,37.8043637,-122.2711137
21,"Memphis, Tennessee",594,656860,1105.824916,35.1495343,-90.0489801
22,"Albuquerque, New Mexico",504,557169,1105.494048,35.0853336,-106.6055534
23,"Fresno, California",476,515986,1084.004202,36.7468422,-119.7725868
24,"San Diego, California",1307,1381069,1056.671002,32.715738,-117.1610838
25,"Nashville, Tennessee",628,644014,1025.5,36.1626638,-86.7816016
26,"Oklahoma City, Oklahoma",668,620602,929.0449102,35.4675602,-97.5164276
27,"New Orleans, Louisiana",418,384320,919.4258373,29.9510658,-90.0715323
28,"Charlotte, North Carolina",897,809958,902.9632107,35.2270869,-80.8431267
29,"Columbus, Ohio",938,835957,891.2121535,39.9611755,-82.9987942
30,"Austin, Texas",1042,912791,875.9990403,30.267153,-97.7430608
31,"Wichita, Kansas",476,388413,815.9936975,37.6871761,-97.330053
32,"Dallas, Texas",1574,1281047,813.8799238,32.7766642,-96.7969879
33,"Indianapolis, Indiana",1073,848788,791.0419385,39.768403,-86.158068
34,"Raleigh, North Carolina",562,439896,782.7330961,35.7795897,-78.6381787
35,"Sacramento, California",623,485199,778.8105939,38.5815719,-121.4943996
36,"Kansas City, Missouri",638,470800,737.9310345,39.0997265,-94.5785667
37,"Milwaukee, Wisconsin",813,599642,737.5670357,43.0389025,-87.9064736
38,"Houston, Texas",3091,2239558,724.5415723,29.7604267,-95.3698028
39,"Louisville, Kentucky",886,612780,691.6252822,38.2526647,-85.7584557
40,"Tulsa, Oklahoma",642,399682,622.5576324,36.1539816,-95.992775
41,"Boston, Massachusetts",1070,655884,612.9757009,42.3600825,-71.0588801
42,"Omaha, Nebraska",748,446599,597.0574866,41.2523634,-95.9979883
43,"San Francisco, California",1522,852469,560.0978975,37.7749295,-122.4194155
44,"Denver, Colorado",1222,663862,543.2585925,39.7392358,-104.990251
45,"Seattle, Washington",1290,668342,518.0945736,47.6062095,-122.3320708
46,"Washington, Washington D.C.",1316,658893,500.6785714,40.17396,-80.2461714
47,"Portland, Oregon",1345,619360,460.4907063,45.5230622,-122.6764816
48,"Miami, Florida",995,430332,432.4944724,25.7616798,-80.1917902
49,"Cleveland, Ohio",930,389521,418.8397849,41.49932,-81.6943605
50,"Atlanta, Georgia",1469,456002,310.4166099,33.7489954,-84.3879824
